[2025-07-30 00:18:46.146156] [ALLOWED] 49.44.95.74:443 -> 192.168.31.118:59003 | Proto: 6
[2025-07-30 00:18:46.147845] [ALLOWED] 192.168.31.118:59003 -> 49.44.95.74:443 | Proto: 6
[2025-07-30 00:18:46.180963] [ALLOWED] 49.44.95.74:443 -> 192.168.31.118:59003 | Proto: 6
[2025-07-30 00:18:46.182377] [ALLOWED] 192.168.31.118:59003 -> 49.44.95.74:443 | Proto: 6
[2025-07-30 00:18:46.757036] [ALLOWED] 52.108.9.254:443 -> 192.168.31.118:59006 | Proto: 6
[2025-07-30 00:18:47.063822] [ALLOWED] 13.89.179.13:443 -> 192.168.31.118:59000 | Proto: 6
[2025-07-30 00:18:47.171389] [ALLOWED] 13.107.3.254:443 -> 192.168.31.118:59002 | Proto: 6
[2025-07-30 00:18:47.183446] [ALLOWED] 20.215.216.50:443 -> 192.168.31.118:59004 | Proto: 6
[2025-07-30 00:18:49.009009] [ALLOWED] 104.86.188.138:443 -> 192.168.31.118:58996 | Proto: 6
[2025-07-30 00:18:49.010713] [ALLOWED] 104.86.188.138:443 -> 192.168.31.118:58996 | Proto: 6
[2025-07-30 00:18:49.012315] [ALLOWED] 192.168.31.118:58996 -> 104.86.188.138:443 | Proto: 6
[2025-07-30 00:18:49.060293] [ALLOWED] 104.86.188.138:443 -> 192.168.31.118:58996 | Proto: 6
[2025-07-30 00:18:49.061704] [ALLOWED] 192.168.31.118:58996 -> 104.86.188.138:443 | Proto: 6
[2025-07-30 00:18:50.238982] [ALLOWED] 13.107.4.254:443 -> 192.168.31.118:59007 | Proto: 6
[2025-07-30 00:18:52.388275] [ALLOWED] 204.79.197.222:443 -> 192.168.31.118:59005 | Proto: 6
[2025-07-30 08:43:14.843434] [ALLOWED] 172.3.0.197:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:14.844213] [ALLOWED] 172.3.0.197:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:14.846036] [ALLOWED] 172.3.0.170:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:14.847774] [ALLOWED] 172.3.0.170:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:14.849390] [ALLOWED] 172.3.0.170:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.046551] [ALLOWED] 172.3.0.199:56583 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:15.159626] [ALLOWED] 172.3.0.197:49776 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:15.218002] [ALLOWED] 172.3.0.182:50041 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.220746] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50041 | Proto: 6
[2025-07-30 08:43:15.221339] [ALLOWED] 172.3.0.182:50041 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.221891] [ALLOWED] 172.3.0.182:50041 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.222573] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50041 | Proto: 6
[2025-07-30 08:43:15.223063] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50041 | Proto: 6
[2025-07-30 08:43:15.237200] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50041 | Proto: 6
[2025-07-30 08:43:15.237827] [ALLOWED] 172.3.0.182:50041 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.238284] [ALLOWED] 172.3.0.182:50041 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.238712] [ALLOWED] 172.3.0.182:50042 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.241151] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50041 | Proto: 6
[2025-07-30 08:43:15.241644] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50042 | Proto: 6
[2025-07-30 08:43:15.242104] [ALLOWED] 172.3.0.182:50042 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.242693] [ALLOWED] 172.3.0.182:50042 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.243383] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50042 | Proto: 6
[2025-07-30 08:43:15.243978] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50042 | Proto: 6
[2025-07-30 08:43:15.254696] [ALLOWED] 172.3.0.201:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.255601] [ALLOWED] 172.3.0.201:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.256163] [ALLOWED] 172.3.0.201:63124 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:15.256735] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:15.257238] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:15.257723] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:15.258222] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.258702] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.259676] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50042 | Proto: 6
[2025-07-30 08:43:15.260305] [ALLOWED] 172.3.0.182:50042 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.260837] [ALLOWED] 172.3.0.182:50042 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:15.261348] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50042 | Proto: 6
[2025-07-30 08:43:15.564207] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.565064] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
